option_type,strike,moneyness,bid,ask,mid,implied_vol,volume,openInterest,lastTradeDate
put,6895.0,0.901905479438473,34.0,34.7,34.35,0.23201213041592242,1.0,0,2026-08-25 14:30:29+00:00
put,6900.0,0.9025595080675074,34.4,34.9,34.65,0.2314067939333482,542.0,0,2026-09-10 19:47:09+00:00
put,6905.0,0.9032135366965419,34.6,35.4,35.0,0.23089119624350005,5.0,0,2026-09-09 15:14:29+00:00
put,6910.0,0.9038675653255763,34.9,35.7,35.3,0.23027302857642862,14.0,0,2026-09-10 16:21:06+00:00
put,6915.0,0.9045215939546107,35.2,36.0,35.6,0.22964883891043852,5.0,0,2026-09-10 15:47:15+00:00
put,6920.0,0.9051756225836451,35.5,36.3,35.9,0.229018669164533,20.0,0,2026-09-10 14:39:43+00:00
put,6925.0,0.9058296512126796,35.9,36.7,36.3,0.2285690964043951,10.0,0,2026-09-10 19:17:47+00:00
put,6930.0,0.906483679841714,36.2,37.1,36.650000000000006,0.22801845670313156,71.0,0,2026-08-31 14:36:22+00:00
put,6935.0,0.9071377084707485,36.4,37.3,36.849999999999994,0.22718476423065256,3.0,0,2026-09-10 14:26:04+00:00
put,6940.0,0.9077917370997829,36.7,37.5,37.1,0.22643897977499367,3.0,0,2026-09-10 13:45:04+00:00
put,6945.0,0.9084457657288173,37.2,38.0,37.6,0.2261428264021364,10.0,0,2026-09-09 15:18:07+00:00
put,6950.0,0.9090997943578517,37.4,38.0,37.7,0.22511424518012957,11.0,0,2026-09-10 19:18:39+00:00
put,6955.0,0.9097538229868861,37.8,38.6,38.2,0.22480201063176944,1.0,0,2026-09-01 14:53:34+00:00
put,6960.0,0.9104078516159205,38.2,39.0,38.6,0.2243010514022168,13.0,0,2026-09-10 19:53:21+00:00
put,6965.0,0.9110618802449549,38.5,39.3,38.9,0.2236153785723334,1.0,0,2026-08-24 13:47:42+00:00
put,6970.0,0.9117159088739895,38.9,39.7,39.3,0.22309968619831622,1.0,0,2026-09-10 19:37:13+00:00
put,6975.0,0.9123699375030239,39.1,40.0,39.55,0.22231453980689603,5.0,0,2026-09-09 18:52:34+00:00
